Telemetry(timestamp='27.05.2023 11:27:01.262570', value='3754.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:01.530372', value='4.945055', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:01.530489', value='1005136.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:01.531567', value='92.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:01.668584', value='3694.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:02.303711', value='10.582011', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:02.308947', value='92.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:02.185860', value='3655.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:02.530486', value='5.347594', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:02.530835', value='1004544.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:02.531501', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:02.688596', value='3435.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:03.313888', value='8.556150', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:03.314966', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:03.217591', value='3623.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:03.530212', value='7.446809', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:03.530537', value='1007252.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:03.532251', value='86.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:03.703973', value='3411.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:04.308779', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:04.312502', value='6.486486', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:04.200415', value='3620.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:04.531074', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:04.531392', value='12.041885', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:04.531673', value='1007572.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:04.541523', value='3677.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:05.310671', value='10.810811', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:05.328231', value='91.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:05.250501', value='3724.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:05.530661', value='11.170213', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:05.530682', value='0.090000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:05.530731', value='1004652.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:05.532639', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:05.632093', value='0.150000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:05.672381', value='3805.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:06.308367', value='3.225806', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:06.315895', value='84.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
