Telemetry(timestamp='27.05.2023 12:18:18.531118', value='1171372.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:18.691283', value='1473.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:19.311831', value='87.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:19.314555', value='4.145078', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:19.208802', value='3485.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:19.530054', value='1171372.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:19.531154', value='2.094241', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:19.532504', value='96.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:19.748743', value='3900.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:20.304638', value='18.556701', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:20.322123', value='77.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:20.255940', value='3028.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:20.530030', value='0.250000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:20.530031', value='0.180000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:20.530070', value='1183468.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:20.531064', value='29.145729', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:20.531260', value='33.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:20.785187', value='1149.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:21.304302', value='30.927835', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:21.310000', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:21.174223', value='51.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:21.530892', value='57.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:21.531077', value='1165372.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:21.531314', value='5.128205', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:21.668925', value='1796.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:22.309634', value='3.108808', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:22.313695', value='100.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
