Telemetry(timestamp='25.05.2023 16:41:53.109621', value='40486.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:53.505086', value='255.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:53.506082', value='10.416667', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:53.507393', value='42780.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:54.398284', value='1115128.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:54.522387', value='17.297297', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:54.605756', value='293.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:54.955018', value='37735.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:54.504134', value='7.821229', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:54.505403', value='549.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:54.507423', value='45411.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:55.497506', value='1115800.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:55.591754', value='19.354839', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:55.609471', value='545.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:55.125692', value='37611.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:55.504843', value='329.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:55.505751', value='18.232044', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:55.508679', value='34859.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:56.456977', value='22.651934', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:56.460449', value='1118716.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:56.595020', value='445.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:56.961026', value='40369.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:56.504907', value='18.181818', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:56.505738', value='351.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:56.509248', value='33387.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:57.439457', value='0.630000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:57.456819', value='1159660.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:57.483466', value='12.994350', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:57.523781', value='407.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:57.609380', value='0.240000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:57.123675', value='43837.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:57.504570', value='484.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:57.505817', value='19.337017', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:57.508965', value='42135.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:58.468015', value='1165444.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:58.541544', value='15.675676', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:58.560458', value='541.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:58.102644', value='38856.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:58.504384', value='670.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:58.504686', value='14.525140', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:58.507830', value='43624.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:59.469139', value='20.555556', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:59.473753', value='1109480.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:59.576610', value='579.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:59.981835', value='37700.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:59.504477', value='406.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:59.505203', value='4.166667', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:59.509515', value='45954.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:42:00.407648', value='1105024.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:42:00.419885', value='18.032787', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:42:00.557369', value='369.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:42:00.100767', value='43220.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:42:00.504359', value='361.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
