Telemetry(timestamp='22.05.2023 08:45:36.220519', value='23.404255', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:36.221107', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:36.221756', value='505.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:36.223990', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:36.227188', value='31791.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:36.721002', value='483.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:36.721080', value='17.368421', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:36.721192', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:36.721290', value='1285708.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:36.722353', value='33595.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:36.725739', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:37.220791', value='466.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:37.220875', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:37.221316', value='22.459893', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:37.223438', value='33902.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:37.224416', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:37.720341', value='1271204.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:37.720815', value='13.440860', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:37.721611', value='434.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:37.721621', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:37.724611', value='32704.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:37.724869', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:38.220645', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:38.220726', value='24.864865', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:38.220955', value='415.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:38.223125', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:38.224689', value='31496.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:38.720308', value='1256664.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:38.720494', value='13.978495', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:38.720824', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:38.720857', value='424.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:38.726923', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:38.727449', value='31574.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
